C-SDB_TIT-0,C-W96-0,C-SDB_BBTR-0,F-ANK,F-UEB
197806,W96-9,75,87,370
197807,W96-9,1,92958,234726
197807,W96-9,2,46165,125146
197807,W96-9,3,31484,87925
197807,W96-9,70,22735,58903
197807,W96-9,81,6059,19378
197807,W96-9,84,292,916
197807,W96-9,75,72,258
197808,W96-9,1,94972,250688
197808,W96-9,2,49448,138167
197808,W96-9,3,32119,90716
197808,W96-9,70,24126,62936
197808,W96-9,81,5166,12950
197808,W96-9,84,262,998
197808,W96-9,75,62,224
197809,W96-9,1,105075,279207
197809,W96-9,2,50484,147414
197809,W96-9,3,29906,87967
197809,W96-9,70,6269,14993
197809,W96-9,81,4768,15886
197809,W96-9,84,320,1041
197809,W96-9,75,67,342
197810,W96-9,1,79571,221431
197810,W96-9,2,37565,105332
197810,W96-9,3,23371,71882
197810,W96-9,70,1642,4978
197810,W96-9,81,2808,9357
197810,W96-9,84,250,1092
197810,W96-9,75,82,468
197811,W96-9,1,51176,128974
197811,W96-9,2,22797,59865
197811,W96-9,3,14067,43902
197811,W96-9,70,145,622
197811,W96-9,81,1977,6413
197811,W96-9,84,375,1145
197811,W96-9,999,80,557
197812,W96-9,1,38471,98340
197812,W96-9,2,18300,48990
197812,W96-9,3,13297,37518
197812,W96-9,70,65,244
197812,W96-9,81,1481,4830
197812,W96-9,84,208,590
197812,W96-9,999,48,270
197901,W96-9,1,32216,83335
197901,W96-9,2,13012,36466
197901,W96-9,3,9862,32248
197901,W96-9,70,25,113
197901,W96-9,81,1195,3961
197901,W96-9,84,186,402
197901,W96-9,999,74,410
197902,W96-9,1,34358,84925
197902,W96-9,2,13702,35740
197902,W96-9,3,9945,33076
197902,W96-9,70,17,62
197902,W96-9,81,1222,4789
197902,W96-9,84,190,534
197902,W96-9,999,47,304
197903,W96-9,1,50344,128897
197903,W96-9,2,21042,54854
197903,W96-9,3,15679,39266
197903,W96-9,70,212,490
197903,W96-9,81,2410,9237
197903,W96-9,84,215,843
197904,W96-9,1,68489,188636
197904,W96-9,2,32912,93555
197904,W96-9,3,25091,74235
197904,W96-9,70,2047,6376
197904,W96-9,81,2760,8691
197904,W96-9,84,235,771
197905,W96-9,1,85205,228390
197905,W96-9,2,38127,107128
197905,W96-9,3,26403,76157
197905,W96-9,70,3741,10018
197905,W96-9,81,2602,10516
197905,W96-9,84,289,792
197906,W96-9,1,80061,214116
197906,W96-9,2,38528,104295
197906,W96-9,3,29688,77095
197906,W96-9,70,8074,21076
197906,W96-9,81,3178,9884
197906,W96-9,84,292,745
197907,W96-9,1,90142,224119
197907,W96-9,2,45728,119261
197907,W96-9,3,39053,106104
197907,W96-9,70,22216,56000
197907,W96-9,81,7427,17142
197907,W96-9,84,277,783
197908,W96-9,1,103149,270740
197908,W96-9,2,61552,160948
197908,W96-9,3,35805,97996
197908,W96-9,70,26008,66964
197908,W96-9,81,3001,6673
197908,W96-9,84,259,1097
197909,W96-9,1,103576,287934
197909,W96-9,2,56471,150664
197909,W96-9,3,32680,95272
197909,W96-9,70,7155,17777
197909,W96-9,81,2487,7671
197909,W96-9,84,257,867
197910,W96-9,1,87558,236995
197910,W96-9,2,38047,106705
197910,W96-9,3,24850,73537
197910,W96-9,70,3335,9621
197910,W96-9,81,2241,10667
197910,W96-9,84,311,937
197911,W96-9,1,55503,141440
197911,W96-9,2,24487,67068
197911,W96-9,3,14801,45456
197911,W96-9,70,210,694
197911,W96-9,81,2373,10981
197911,W96-9,84,251,614
197912,W96-9,1,38523,100394
197912,W96-9,2,19740,54069
197912,W96-9,3,13827,42824
197912,W96-9,70,59,210
197912,W96-9,81,1635,7481
197912,W96-9,84,177,663
198001,W96-9,1,36583,90380
198001,W96-9,2,14596,39337
198001,W96-9,3,9027,32963
198001,W96-9,70,28,34
198001,W96-9,81,1282,7154
198001,W96-9,84,180,423
198002,W96-9,1,37524,93360
198002,W96-9,2,14798,38218
198002,W96-9,3,10649,33539
198002,W96-9,70,27,127
198002,W96-9,81,1668,7729
198002,W96-9,84,171,372
198003,W96-9,1,51823,128414
